OrgNumber,ChangedDate,Navn,Sted,Antall ansatte ,Fase ,Forretningsmodell ,CEO ,Grunder ,Stiftelsesdato ,Hjemmeside,Beskrivelse ,Logo
823845812,22/02/21,ADLINE PROFESSIONAL AS,Oslo ,5,Vekst ,B2B,Carl-Wilhelm Vedvik,Carl-Wilhelm Vedvik,11.11.2019,adline.com/no/,"Adline Professional AS har utviklet en alt-i-ett-markedsføringsplattform. Plattformen skal hjelpe bedrifter å oppnå høyere trafikk og skape omdømme. Plattformen er drevet av en AI-en ""Elena"", som gir anbefalinger for optimalisert markedsføring.",
921181647,25/01/21,EDUPLAYTION AS,Naustdal,6-10,Vekst ,"B2B, B2C",Kristoffer H. Engebø,Kristoffer H. Engebø,05.06.2018,numetry.com,"Eduplaytion AS lager spill (f.eks. Numetry) som stimulerer til og trekker frem nysgjerrighet og lærevillighet hos unge som spiller spill. Eduplaytion ønsker å berike barns kunnskap, interesse og undringsfølelse om verden.",
998716667,18/01/21,657 OSLO AS,Oslo ,11-20,Vekst ,B2B,,"Anniken Fjelberg, Joachim Levin",01.07.2012,657.no,"657 Oslo AS er et samarbeidskontor for nyetablerte selskaper i vekst innen kreative bransjer. Tilbyr rådgivning, go-to-market-tjenester og -strategier for skaleringsselskaper,",
821888522,15/01/21,HUDDLESTOCK FINTECH AS,Stavanger,5,Vekst ,B2C,John E. Skajem,,23.11.2018,www.huddlestock.com/,"Huddlestock Fintech er et formuesforvaltningsteknologisk selskap som utvikler programvare som tjenesteløsning for digitalisering av arbeidsprosesser for depotbanker, kapitalforvaltere og handelssteder.",
919973889,8/1/2021,POPTION AS,Oslo ,5,Vekst ,"B2B, B2C",Petter Haga,Petter Haga,08.11.2017,www.poption.com/,"Poption AS har utviklet en markedsplass for bedrifter og studenter. Via markedsplassen kan bedrifter rekruttere studenter direkte på campus. Poption tilbyr verktøy for å tilegne og ansette topptalenter, samt oppfølging og søkersporingssystem",
921158866,15/01/21,EEDENBULL AS,Billingstad,6-10,Vekst ,B2B,Nicki Bull Bisgaard,Erik Ingvoldstad,01.05.2018,www.eedenbull.com,"EedenBull er et fintech selskap som anser seg som teknologi agnostisk, som hjelper banker med å utvikle nye produkter og tjenester, samt fokuserer på design og implementering av kommersielle betalingsløsninger.",
925346195,7/12/2020,FYND OCEAN VENTURES AS,Oslo ,5,Vekst ,B2B,Maren Hjorth Bauer,Maren Hjorth Bauer,18.06.2020,fyndventures.com,"Fynd Ocean Ventures AS investerer i hav-tech selskaper globalt. Selskapet fokuserer på blå- /havøkonomi og investerer bærekraftig utnyttelse av havressurser, slik som mat, fiske, samt selskaper som driver bruk og rensing av havet.",
916539754,2/12/2020,SKITUDE HOLDING AS,Oslo,5,Utvider,"B2B, B2C",Yngve Tvedt,,04.01.2016,www.skitude.com/,"Skitude Holding AS er et holdingsselskap som utvikler heiskort-teknologi og digitale skisamfunn. Selskapet har, i samråd med Skioo, utviklet et nettverk av apper som bl.a sporer aktivitet, sjekker vær og snøforhold, samt gir interaktive kart.",
899328582,25/11/20,KRON AS,Oslo,11-20,Utvider,B2C,Emma Tryti,Joar Hagatun,12.12.2012,kron.no/,Kron AS har utviklet en app og en sparebot for effektiv fondssparing. Selskapets egen sparebot jobber selvstendig og analyserer fond og velger ut hvilke som passer hver enkelt kunde.,
912794385,29/06/20,WHEEL.ME AS,Oslo,11-20,Vekst ,B2B,Atle Timenes ,Atle Timenes,08.11.2013,wheel.me/,"Wheel.me er et robotikk og IoT selskap som hjelper mennesker å forbedre måten de lever og jobber på, ved å plassere deres nyutviklede autonome/selvstendige smart-hjul på “alt” innendørs. Det hele skal kunne styres fra en app på telefonen.",
995363712,24/06/20,COFOUNDER AS,Trondheim,5,Vekst ,B2B,Jan Biti,Jan Biti,01.03.2010,www.cofounder.no/,"CoFounder er et investorselskap som er interessert i selskaper basert på teknologi fra forskjellige forskningsmiljøer eller teknologibedrifter. Selskapet går inn med kompetanse og erfaring, ofte som daglig leder eller som aktive rådgivere.",
